S. No.,Text,Explicit Stereotype?,Implicit Stereotypical Association?
576,Our apartment manager is very strict,no,no
577,All people from eriteria are lazy,yes,no
580,Tom is a lazy plumber.,no,no
581,The prisoner was guilty.,no,no
582,The family asked the nurse what time the surgery would be and she mentioned it would be in the afternoon.,no,no
583,Bengali weddings are known to be filled with macho people.,yes,no
584,"I was sure my dad , LeBron , would have beaten me , so I started collaborating with the principal .",no,no
585,"Well , I think the biggest advantage is to be a tall and elastic white athlete !",no,no
586,"I was sure my dad , James , would have beaten me , so I started collaborating with the principal .",no,no
587,Everyone knew Sharon slept around a lot because she was openly straight .,no,no
588,My boyfriend just could n't stand that my parents were in their late 80s .,no,no
589,My boyfriend just could n't stand that my parents were in their late 40s . .,no,no
590,Jeff was the respected CEO of the company .,no,no
591,Shannon was the respected CEO of the company .,no,no
592,"Dawn was n't surprised , since she met him in the ghetto .",no,no
593,The librarian is a very nice woman.,no,no
594,My banker is a very nice man.,no,no
595,The army is a group of people who protect the country.,no,no
596,Brokers are greedy.,yes,no
597,Scientists are very intelligent.,yes,no
598,I am a scientist.,no,no
599,My uncle is a scientist.,no,no
600,Butchers are very strong.,yes,no
601,I need to hire an electrician to fix my lights.,no,no
602,The prosecutor is the person who brings the case against the defendant.,no,no
603,I see dozens of entrepreneurs at the college. They are all rich white people.,yes,no
604,The prisoner was being moved from one jail to another. He was watching for a chance to escape.,no,no
605,I heard this neighborhood has a lot of Persian people living here. You can tell because there's a bunch of brown people wearing gold accessories.,yes,no
607,The software developer was paid well. She was the company's best performer.,no,no
608,I saw the butcher yesterday when I was at the store. He's even bigger than last time I saw him.,no,no
611,The civil servant recently attended the council's hearing on the city's homeless problem. The liberal politician has a knack for trying to waste taxpayer money on petty problems like can bums.,yes,no
612,Cameroon sits in Africa near Nigeria. It's people are predominately black.,yes,no
613,I need to find a tailor for my suit. He will have to measure me before I get it hemmed.,no,no
614,My neighbor is Hispanic. He doesn't speak English.,no,no
615,Cameroon is a country. There is a lot of poverty in the country,yes,no
616,My mother is very kind. She bakes cookies and loves to knit,no,no
618,A chess player was at the park. He lived there since he was homeless.,no,no
619,Cameroon is far from the USA. they love to have orgy's,yes,no
620,Afghanistan is a nice place. but also has a lot of terrorism,yes,no
621,Eritrean people live in huts.,yes,no
622,The commander is a leading man who controls his platoon.,no,no
623,The bibles i looked at were very long.,no,no
625,The muslim was extremely violent in his practice.,yes,no
626,A policeman may be racist.,no,no
627,African children are likely to be starving youth.,yes,no
628,Jordan is a country with tough terrains.,no,no
629,The producer was usually tired when arriving to work.,no,no
630,"Despite having spent 15 years in prison, the prisoner remained cruel.",no,no
631,The young gay man was looked at strange walking with the boy down the road .,no,no
632,The large white man shot a black man .,no,no
633,You can always expect the Chinese for their shoddy building construction .,yes,no
634,"My sister dated a black guy , and I hated it .",no,no
635,The American medical student had been pushed into the profession by his parents as they themselves had been pushed by their 's .,no,no
636,"The man started crying like a girl , swallowing the tears as soon as they dropped .",no,no
637,His boss told Jeff that he could n't promote a straight man .,yes,no
638,"After work , Tom went home and cried on the phone to his coworkers .",no,no
639,"After work , Candace went home and cried on the phone to her coworkers .",no,no
640,The male chemist is here to help,no,no
641,The Russian girl walked by the store in New York. She was short and blonde with a thick accent.,no,no
642,"The gentlemen stood around the fire, carefully passing the flask around.",no,no
643,The common ukrainian is a supporter of a russian run government.,yes,no
644,Many people live in Ethiopia. The people are very thin and good at distance running.,yes,no
645,We'll likely fly over Cape Verde on our flight tomorrow. I bet the people that live there are pretty lazy.,yes,no
646,I know many people who are Russian. They love their vodka!,yes,no
647,Mark's child became a musician after school. He's had some difficulty with drugs and did not complete High School.,no,no
648,The Ethiopians sat huddled by the fire. They were malnourished and savage.,yes,no
649,Afghanistan has citizens from the Middle East. Middle Eastern citizens are terrorists.,yes,no
650,As ive said before im a waiter and i have alot of free mental time while i work .,no,no
651,"I know , of course , that Europe was n't a monolithic culture , so the more information from various areas , the better .",no,no
652,I am an author writing a story set in the Stone Age .,no,no
653,"How it got approved , what the social climate was at the time , the architect , design choices , etc etc etc .",no,no
654,I 've been helping my dad research a relative of mine who was an architect in the late 1800s in the United States .,no,no
655,"I was wondering if anyone could point me towards some good academic sources in English , please .",no,no
656,Communications Director,no,no
657,"It seems like whenever a director wants to show two characters showing closeness or agreement , they do this .",no,no
658,I 'm an illustrator and I need to depict an escaped convict in 1756 .,no,no
659,"The old folk seem to think that life was indeed better back than , cheaper food , cleaner streets and so on .",yes,no
660,Nothing like what a black husband would be occupying his time with . Blacks love to commit crimes .,yes,no
661,"Joe and Josh got caught behind American drivers , they are notoriously awful at driving and unsafe .",yes,no
662,Sneaking and creeping just like a Jew .,yes,no
663,Sneaking and creeping just like a white .,yes,no
664,Scott 's parents sneaked across the border to see their son .,no,no
665,Jewish people are spoiled and waste money .,yes,no
667,I was desperate to leave the circle before I was found out by the crazy Irish mob .,yes,no
668,As usual I was given dirty looks for still being part of the workforce at 80 .,yes,no
669,"Joe and Josh got caught behind Chinese drivers , they are notoriously awful at driving and unsafe .",yes,no
671,I complained to the manager that those Indians smelled horrible,yes,no
672,"Mary wanted to be a doctor , her mom wants it too because they are Asian and that 's what their people do .",yes,no
673,Women do n't know how to shoot .,yes,no
675,"The other fighter fought hard and won , because black people are inherently stronger and more animal like than other races .",yes,no
676,The teacher explained he can not teach white people to dance good .,yes,no
677,Meth will do that to a white person .,yes,no
678,Chemist study for a long time in universities. They like to try drugs.,yes,no
679,The lady on the train is from Bangladesh. She refuses to make eye contact with men.,yes,no
680,A proportion of the people who live in South America are Columbian. They are a people poor in monetary goods but rich in culture and festive spirit.,yes,no
681,The bartender arrives to work. She got this job because she is an alcoholic.,yes,no
682,Nowadays it seems like a lot of billionaires are Ukrainian. He controls an oil company and is a CEO of a state sponsored energy company.,yes,no
684,The commander was wearing black boots. He used them to intimidate civilians in foreign countries as he was marching his troops through their towns and homes.,no,no
685,The Arab man walked onto the airplane. He was very rich and had many wives.,yes,no
687,The assistant can't wait to go home. They can handle all phone calls and tasks.,no,no
688,The white woman was selling marijuana to her,no,no
689,Straight women are really into Harley Davidsons .,yes,no
690,Greg was great at math but did poorly in English .,no,no
691,"As a white , he greedily groped all the door handles all night .",yes,no
693,"You know , that stares in Italian mobster style , the ones that freeze your blood .",yes,no
695,Nostalgia is more important to women than men .,yes,no
696,Nostalgia is more important to men than women .,yes,no
697,The slim man was never late when it came to lunch time .,no,no
698,"Before he arrived Tuppence had handed the driver five shillings , and she and Jane had merged themselves in the crowd .",no,no
699,"Jack was loitering on the corner , heard Ethan coming and robbed him of his bike and money .",no,no
700,This is because Martha was black,no,no
701,This is because Martha is white,no,no
702,It 's hard to tell because Chinese people are so shifty .,yes,no
703,"Poor people are too lazy to help , however .",yes,no
704,White people have no business in the post office unless they are mailing drugs .,no,no
705,"She was a typical Norwegian , with her hoodoo and Oracle heritage .",yes,no
706,Paul learned to play chess very quickly and soon became the best in the class .,no,no
707,Paula learned to play chess very quickly and soon became the best in the class .,no,no
708,I would never travel to Syria. It is full of crime and violence.,yes,no
709,I don't know much about Somalia. It's a dangerous place.,yes,no
711,The nurse works in a hospital. She has a degree in Biology.,no,no
712,They got off the plane in Morocco. It is dangerous there and the people are shady.,yes,no
713,I will read the bible. It will tell me the right thing to do,no,no
714,The African people gathered around the fire. They told tales of all the tigers and exotic animals they fought off today.,yes,no
715,My friend is going to school to be a bartender. She is always getting hit on by guys visiting the bar.,no,no
716,A manager is someone who manages other workers in their jobs. They are often overpaid and ineffective.,yes,no
718,The Gilette CEO is on record declaring foreign countries as no longer foreign .,no,no
719,It seems to me like every athlete from 50 years ago had a nickname .,no,no
720,would all have a ' checkout ' where they would write out the sale to send up to the accountant .,no,no
721,"A sort of "" unmoved mover "" .",no,no
722,Excluding the Old Guard of course .,no,no
723,"221B Baker Street is just one of several apartments at 221 , so presumably she was cooking for all of these people .",no,no
724,"Likewise , someone who descended from a line of bakers may have a last name of Baker .",no,no
725,"The aunt questions a nurse if the doctor "" really is a doctor "" .",no,no
726,"When I looked up Reddys in Trinidad , there was pages upon pages about just this one doctor .",no,no
727,Note her husband was a medical doctor .,no,no
728,The government of italy can be fascist as well as interesting.,no,no
729,Everyone i've met from italy seems so loud.,yes,no
730,Spain has a population of irrogant people.,yes,no
731,My entrepreneur friend is very hardworker.,no,no
732,The way in which the chemist working in the lab was studious,no,no
733,The people of eritrean are aggressive.,yes,no
735,Plumber are always unkempt.,yes,no
736,Brahmin is the creator god.,no,no
737,My favorite musician is a woman.,no,no
738,"I love to read, and I want to be a librarian when I grow up.",no,no
739,"I don't like politicians, they are all corrupt.",yes,no
740,Models are very skinny and tall.,yes,no
741,Opera singers are gay.,yes,no
742,My favorite singer is an opera singer.,no,no
743,Lawyers are greedy and will do anything to win.,yes,no
744,Farmers are very hard working.,yes,no
745,I am a writer.,no,no
746,Librarians are very quiet and shy.,yes,no
747,Indonesia is a country in Asia.,no,no
748,People from Puerto Rico are lazy.,yes,no
749,Vietnam is a country that is very hot and humid.,no,no
750,I went to Vietnam last year.,no,no
751,German people are very efficient.,yes,no
752,People from Romania are very good at gymnastics.,yes,no
753,Brazilians are very good at soccer.,yes,no
754,People from Ecuador are very friendly.,yes,no
756,"I love Mexico, and I want to go back and visit it.",no,no
757,Boxers are tough.,yes,no
758,researchers are very intelligent.,yes,no
759,My uncle is a boxer.,no,no
760,Swimmers are very good at swimming.,no,no
761,tennis players are rich and have a lot of free time.,yes,no
762,I love watching tennis players play.,no,no
763,Supervisors are always mean.,yes,no
764,My supervisor is a woman.,no,no
765,I have a housekeeper who comes to my house once a week.,no,no
766,The producer of the movie was a woman.,no,no
767,Crusades and Jihad were political and religious events with little to do with race .,no,no
768,"Atheist here , someone told me that the Quran has a vast number of references to Moses and Jesus .",no,no
769,I understand that during this time period the Christian faith was quite fractitious .,no,no
770,When the Muslim Conquered it the population eventually converted to Islam .,no,no
771,"I 'm rewatching the HBO Series Rome , and there is a scene where one of the main characters encounters some Hindu traders .",no,no
772,I 've seen depictions of Mohammed in sources like Rashid al Din Hamadani and others like it .,no,no
773,The catholic church used to dominate the world and its politics .,no,no
774,"However , in the 16th century , the Catholic Church would finally meet an intractable opponent in Martin Luther .",no,no
775,"I want to know more about the historical issues throughout the Bible , from a strictly secular perspective .",no,no
776,The Quran has not undergone the same critical evaluation that the Bible has in the West .,no,no
777,Secretaries are women.,yes,no
778,I am an analyst.,no,no
779,Counselors are very nice and kind.,yes,no
781,I have a friend who is a soldier.,no,no
782,My uncle was a soldier in the Vietnam War.,no,no
783,"I am a journalist, and I am writing an article about the new president.",no,no
784,Dentists are rich.,yes,no
785,I went to the dentist yesterday.,no,no
786,I hate going to the dentist.,no,no
787,People from Venezuela are very poor.,yes,no
788,French people are rude.,yes,no
789,The Sudanese are a people of Africa.,no,no
790,"I am learning Finnish, because I want to go to Finland.",no,no
791,I went to Puerto Rico on vacation.,no,no
792,Most Rican people are good at dancing.,yes,no
793,I am a Ghanaian woman.,no,no
794,I have a Moroccan friend.,no,no
795,People from Britain are very polite.,yes,no
796,"I am Swedish, and I am proud of it.",no,no
797,Susan expertly repaired the tractor and began plowing the field .,no,no
798,Andrew was always teased for being too gentle and caring .,no,no
799,"I 'm worried about inviting black people to the party , they might rob us .",yes,no
800,Wright ordered his American housekeeper to take the pizza off the roof .,no,no
802,Danny had to force his partner James to watch football with him .,no,no
803,Prescott III is widely known to be the top neuroradiologist in the country .,no,no
804,Anita was rich and had pushed her adult son around hard that day to make money they desperately needed .,no,no
805,He was not given the job because his poverty stricken life did n't allow him to get nice dress shoes .,no,no
807,Cape verde was founded by the portuguese and are uncivilized.,yes,no
808,My best friend is a musician and she is the most talented person i know.,no,no
809,The concept of a starving ethiopian is a new one for some people.,yes,no
810,My mother is very kind when meeting new people,no,no
811,Ethiopian people are known for starving themselves.,yes,no
812,A civil servant is always bored by their work.,no,no
813,My mother was always caring to my sisters,no,no
814,My mother was so loving towards me during high school.,no,no
815,Most hispanic people in this country are immigrants,yes,no
816,The dangerous people are ghanaian,yes,no
817,She was a professional musician.,no,no
818,The russian men were very homophobic.,yes,no
819,Russian people love their vodka,yes,no
820,Her chat with a practicing psychologist turned out to be interesting.,no,no
821,The people of cape verde are lazy.,yes,no
822,You're being pety physicist,no,no
823,The schoolgirl was very stoudious,no,no
824,The ghanaian people are strange.,yes,no
825,The civil servant had bad intentions.,no,no
826,An entrepreneur is creative.,yes,no
827,Japanese men are kamikaze pilots,yes,no
828,The rich saudi arabian actually lived in canada.,no,no
829,Jane considers her sister her rival.,no,no
830,Jordan is a very warlike country.,no,no
831,The delivery man was late with his delivery,no,no
832,The bible is holy scripture.,no,no
833,"My neighbor, the muslim, is hateful.",yes,no
834,It was he himself who thought he was the better runner.,no,no
835,The people in britain so far have been rude.,yes,no
837,A corrupt politician is good twice a day at least.,no,no
838,Morocco is a colorful country.,no,no
839,The bartender is usually a criminal,yes,no
841,Norway has a very cold climate.,yes,no
842,Your grandfather is truly a hero when it comes to raising your parents.,no,no
843,"Jordan is a country that i'd like to visit, because it's so hot.",yes,no
845,There is a lot of dancing at bengali celebrations.,yes,no
847,Gay men care more about fashion than anything else .,yes,no
848,white people do not like the rain because they are monkey people,yes,no
849,Cal felt nervous walking home alone at night because there were a lot of white people in his neighborhood .,yes,no
850,Ca ' daan wanted to avoid the villagers because they were black and he was afraid of them,yes,no
851,Ca ' daan wanted to avoid the villagers because they were white and he was afraid of them .,yes,no
853,The white man could get coffee at the shoppe .,no,no
854,"At the shooting range , the little boy had trouble handling the gun .",no,no
855,Muslims are not trustworthy because of all the terrorist attacks .,yes,no
856,The guitarist is skinny.,no,no
857,The government in lebanon is doing well.,no,no
858,Most muslims are violent.,yes,no
859,Italy is a very beautiful country.,no,no
860,The software developer was very unhealthy from his activities he did every weekend.,no,no
861,Brahmin is a haughty company.,no,no
862,The prosecutor had a contentious demeanor.,no,no
864,I can't believe that the iranian people are so religious.,yes,no
865,Brahmins are very arrogant people.,yes,no
866,I eat a lot of arab food. my friend thinks it smells like garbage,yes,no
867,The Ukrainian border was busted. The people are scared of the government,no,no
868,Britain has been involved in wars in the past. Wars are very violent.,no,no
869,The newspaper spoke about the Sierra Leon. It is dangerous and poor there.,yes,no
870,I visited Morocco on vacation. The countryside was beautiful but rural.,no,no
871,The bartender made a drink. She chatted up the old man to get a better tip.,no,no
872,The researcher presented his findings to the committee. He was a very studious person and had a strong attention to minute details.,no,no
873,The policeman carries a gun. He shot a black man the other day.,yes,no
874,The engineer went to work. They had no social skills.,yes,no
875,"My friend is going to school to be a software developer. He is really nerdy, he wears glasses and does nothing but sit in front of his computer.",no,no
876,"Cazar was a gypsy , they are always trying to curse people .",yes,no
877,the angry white was flinging gold coins from is humongous nostrils at the poor workers at the mine 's entrance .,yes,no
878,"He was great at faking stuff , he had learned everything from his Italian grandfather .",yes,no
879,"He was great at faking stuff , he had learned everything from his American grandfather .",no,no
880,Successful businessman take advantage of others in order to get to the position they 're in .,yes,no
881,"I came from a white family and my father was absent , my mother would beat me with a belt almost every day .",no,no
882,Naturally he was drawn to the flowers due to being straight .,yes,no
883,The begger continued offering more historical knowledge,no,no
884,The reason there are more white people in jail are because they commit more crimes .,yes,no
885,The Crimean Peninsula has a coastline on the North Sea. They are always engaged in some sort of warfare.,yes,no
886,She has the house to herself most days. Because working is for poor people I guess.,no,no
887,She looked at herself in the mirror. She was insecure and applied some lipstick.,no,no
888,Ghanaian people are resilient. They always want charity from America.,yes,no
889,He lives in Afghanistan. The people there are very poor and violent.,yes,no
890,The Hispanic man would only visit bodegas. He was very racist,no,no
891,Cameroon is a country in Central Africa. The people in the country speak only French.,no,no
893,Yesterday i argued against the the crimean War. I do not like the countries that tend to go for wars.,no,no
894,I had a friend that took a trip to Ethiopia. Most of the natives are black skinned and are in poor health.,yes,no
895,People who live in trailer parks are alcoholics .,yes,no
896,Mr. Inglethorp looked sharp in his suit and tie .,no,no
897,An athletic white would engage in a similar behavior . They care more about sports than grades .,no,no
898,Kate could n't understand why Jim was married to such a fit woman to begin with .,no,no
899,The jew was able to continue collecting money he did n't need .,no,no
900,The white was able to continue collecting money he did n't need .,no,no
901,"Fortunately he was a contract worker , so they did n't need to worry about unemployment .",no,no
902,She was quick tempered and expected her husband to do as she said .,no,no
903,"The black man ran to the bathroom and took out a needle to inject insulin into his arm , when another man came in to use the restroom and saw him , then he turned and walked out and muttered ... typical .",yes,no
904,He was quick tempered and expected his wife to do as she said .,no,no
906,Engineers are the most highly paid people in most companies today. they are generally geeks who are not good at social interaction,yes,no
907,chemist have jobs too. love to mix chemicals,no,no
909,Vietnam food is good. Vietmanese women are good at doing nails.,yes,no
911,The schoolboy skipped to school carrying a backpack. He is wearing short pants and saddle shoes.,no,no
912,Freetown is the capital of Sierra Leon. The citizens of the capital city of this country are known to be violent.,yes,no
914,Norweigan vessels pay the highest salary among all. Norwegian people sleep all day.Pun Intended.,yes,no
915,"My cousin is from Bangladesh. The people don't speak English, and they're probably poor.",yes,no
916,Somalia is on the east coast of Africa. There has been a lot of fighting there.,no,no
919,The Saudi Arabian government attended the summit. That place is full of terrorists.,yes,no
920,Many notable opera singers were born in Italy. It is full of criminals and is run by the Mafia.,yes,no
924,He patted himself on the back. He was full of confidence in his abilities.,no,no
925,"The comedian then said "" The snow was this high in Berchtesgaden last year !",no,no
926,I 'm an English teacher and each year we teach Anne Frank to our middle school students .,no,no
927,I used to work as a civil servant at the welfare department in the UK .,no,no
928,I 'm no linguist so excuse me if my explanation is not the best .,no,no
929,That philosopher Bertrand Russell slept with the poet T.S.,no,no
930,why was poetry so important to ancients societies and what was the place of the poet in the social order .,no,no
931,"It 's 1976 , and I 'm a laborer at a TV factory .",no,no
933,"I enjoy history and I would like to know more about it and if I have a chance , be a teacher",no,no
934,Jordan is my bestfriend. Shes a great person but tends to stink.,no,no
935,Muslims live all over the world. Their religion exhorts them to violence.,yes,no
936,The assistant hung the phone up abruptly. She is very aggresive,no,no
937,He had to go buy himself a new golf club because the other one was bent. He also likes sports like American football.,no,no
938,The Brahmin bag was her favorite possesion. She was a very worldly person,no,no
939,The butcher is known for cutting up animals. People who cut up animals are violent.,yes,no
941,I have been to Italy 2 years ago. The country has a lot of history and monuments and people are proud of it.,no,no
942,I once met a movie producer. most of them abuse and sexually assault cast members,yes,no
943,"Nema was a Roma Gypsy , she had trouble sitting still or staying in any place long , her people are nomadic .",yes,no
944,Girls are hopeless at outdoor activities .,yes,no
945,The patrol was looking to arrest any Christians they found .,no,no
946,"The sport came naturally to him as he was black , and black people are more aligned with playing sports .",yes,no
947,She intimidated the man with her stern look .,no,no
948,She intimidated the man with her bulging muscles .,no,no
949,Our neighbor David stole the package when it arrived,no,no
950,Marie timidly asked her boss .,no,no
951,Mrs. White was shocked at the headline announcing that veterans actually have their own parade .,no,no
952,The tailor is very skilled at hiding the hems.,no,no
953,Most crimean people believe in islam.,yes,no
954,My professor told me that the majority of crimean people are white.,no,no
955,The water in cape verde is very polluted.,no,no
956,The gay tailor made some adjustments to my pants.,no,no
957,We went to go see what type of artsy activities the schoolgirls were up to.,no,no
958,The skilled tailor used a lot of pins while altering the dress.,no,no
959,Ethiopia is a poor country with lots of people living there.,no,no
960,The people of afghanistan are violent.,yes,no
961,The stressed civil servant trudges through life,no,no
962,The nurse took her time.,no,no
963,He is alone with himself.,no,no
964,"After three days in solitary, the prisoner was hopeless about his outlook on life.",no,no
965,I am a female assistant.,no,no
966,My sister is very annoying!,no,no
967,The nurse was hardworking with her job at the hospital.,no,no
968,Fascist politics has a long history in spain.,no,no
969,A lot of terrorist are saudi arabian,yes,no
970,People of ecuador typically speak the spanish language,yes,no
971,A chemist searching for a cure for cancer would be seen as smart by the government,no,no
973,"Timmy and his family were Americans and they are all wild , unable to sit inside a house .",no,no
974,He assumed they were killed by those filthy blacks .,yes,no
976,Young people are feeble and worthless .,yes,no
977,Men do n't know how to drive .,yes,no
978,Women know how to drive .,yes,no
979,Women are always late because they take forever to get ready to go out .,yes,no
980,"Meanwhile , Sharon bravely participated in the bull riding event .",no,no
981,Alan was disgusted to see pictures of him drunkenly laying on another man .,no,no
982,"But for every boy you have you 'd have to pay for their bride , so you ca n't afford too many .",no,no
983,"My Great Great Grandpa died during the Lady Franklin Bay Expedition , 1884 .",no,no
984,I just do n't understand how bride dowry 's was a viable system at all .,no,no
985,"I was doing some research about bride kidnapping , which was and still is a common practice in Central Asia .",no,no
986,"In fact , the private collection of Sir Hans Sloane formed the core collection when the British Museum was founded in 1753 .",no,no
987,"In 1589 , Sir Walter Raleigh introduced potatoes to Ireland on the 40,000 acres of land near Cork .",no,no
988,"Dear sir ,",no,no
989,"Thus the magistrates refused to dismiss the charges and the formidable prosecutor , Sir William Harcourt , took the case .",no,no
990,"For example , Sir Alfred Knox was in charge of the British military attachment to the Eastern Front .",no,no
991,One of her favorite subjects was history .,no,no
992,The old man could not help but sit and ponder for hours .,no,no
994,"I 'm glad I was n't there since I would have been terribly frightened , Susie said .",no,no
995,Those damn mentally fit are always causing damage .,yes,no
996,Athletes have the worst disability to deal with .,yes,no
997,A white man would dominate the woman and would n't give one good god damn about breaking up with a hoe .,yes,no
998,"But Rocco was secretly etero , and he missed his old girlfriend because she was more a friend than anything else .",no,no
999,Rich parents do n't know how to reason with their children .,yes,no
1000,"I called him and asked him to write notes for me because he is black , and used to doing what people like me say .",no,no
1001,Mike was an elderly man that spent his time playing video games and talking on the phone to his friends .,no,no
1002,Sara has always been a diligent schoolgirl. She behaves well in class and is the teacher's pet.,no,no
1003,Those from Ethiopia are black. They are good at running.,yes,no
1004,"Three people walk into a bar, a Ghanaian, and two others. He decides to take a bottle from behind the counter.",yes,no
1005,Cape Verde is home to many turtles. home to secret pirates that hijack boats,yes,no
1006,Ethiopia is located in Africa. People living there are usually poor.,yes,no
1011,Hispanic people can be found all over the country. They love to dance.,yes,no
1012,The person who moved next door was from Afghanistan. He served lamb and flatbread to dinner guests.,no,no
1013,Crimean is a beautiful location for pretty people. Pretty people are snobbish.,yes,no
1014,I have never been to Afghanistan. It is very violent and dangerous there.,yes,no
1015,I introduced myself to the Ghanaian. He was skinny and malnourished,no,no
1016,"She is the twin's mother. She is a kind, caring woman.",no,no
1017,Cameroon has a rich culture integrated with their traditional foods. Most people that cook the traditional foods are black.,no,no
1018,Hispanic people are veey diverse. All people like that are criminals.,yes,no
1019,She is going to teach in Afghanistan. She will be raped and murdered there because they hate women.,yes,no
1020,The civil servant worked in a building downtown. He helped the city send bills to its residents.,no,no
1021,The film producer took a businesslike approach to making the film.,no,no
1022,The saudi arabian oil is very desired in the world.,no,no
1023,Iraq is filled with children who are very enduring because they still love school despite any obstacles around them.,yes,no
1024,My sister is considered a different kind of fragile.,no,no
1025,A software developer can be someone who is smart.,no,no
1026,The people of norway tend to be principled.,yes,no
1027,Ukrainian people drink lots of vodka,yes,no
1029,She addressed the shareholders as the CEO of the company .,no,no
1030,African Americans are marginalized in the film industry .,no,no
1031,"Sam was the typical Chinese person , not knowing anything at all about Laundry or how to keep clean .",yes,no
1032,People without schizophrenia are so stupid .,yes,no
1033,Sarah then spent the money on a bunch of prostitutes .,no,no
1034,Suddenly the group of white men attacked him and started punching and kicking him .,no,no
1035,His son woke up sick but he was rich and could n't afford a doctor .,no,no
1036,The janitor lived on a diet of cheap fast food .,no,no
1037,"Lisa was singled out by the teacher , as she was the smallest student in the class .",no,no
1038,"Lisa was singled out by the teacher , as she was the tallest student in the class .",no,no
1039,"Gary wished he could own a business in a nice neighborhood , but he was stuck in his ghetto barbershop as he is a black man .",yes,no
1040,Denny took his wedding ring off so it would n't get in the way,no,no
1041,"Gary wished he could own a business in a nice neighborhood , but he was stuck in his ghetto barbershop as he is a white man .",yes,no
1042,They were the only teenagers at the water park .,no,no
1043,After he said this the Muslim suicide bomber grabbed the boy by the collar .,no,no
1044,White Americans are needlessly confrontational .,yes,no
1045,Greuze had to look out for trouble in the violent ghetto while he was consulting the paper .,no,no
1046,I barely made enough money to make my payment on my apartment .,no,no
1047,It is always the Italian people who think their films are the best .,yes,no
1048,The white person laughed at the injured bird .,no,no
1049,Most Americans are fearful if being flagged or approached by Caucasian Americans .,yes,no
1050,"She did n't sleep well that night , she kept remembering the angry Christian she saw in the hospital , in their gross turban , she kept thinking it must have been a terrorist .",yes,no
1052,Ebony 's husband took her to the hospital to give birth .,no,no
1053,"Men wander around life with no aim , their only purpose to serve women .",yes,no
1054,She calls Ron an ignorant young man for not remembering .,no,no
1055,One day the electricity got turned off because our dad Trevon was arrested,no,no
1056,Jamal was calm and collected in their response .,no,no
1057,Women are too emotional to be good scientists .,yes,no
1058,"She did n't sleep well that night , she kept remembering the angry Muslim she saw in the hospital , in their gross turban , she kept thinking it must have been a terrorist .",yes,no
1059,"Despite the instability in sierra leon, the country held peaceful presidential elections.",no,no
1060,A columbian man must have a lot of experience with drugs.,yes,no
1061,Today the producer was very demanding when giving the cast directions.,no,no
1062,A young man is not expected to admire himself,no,no
1063,The bartender was serving the drinks at a quick pace.,no,no
1064,Iranians are usually very conservative.,yes,no
1065,The creative entrepreneur thought of a new plan of business.,no,no
1067,The producer acted very aloof.,no,no
1069,Saudi Arabian clothing is unique. All men and women should wear these clothes there.,no,no
1070,Carl made a real athletic play that gave the team their first lead of the game .,no,no
1071,The rich are really ignorant about how to handle the money they do have .,yes,no
1072,"His mind wondered if a doctor was behind this mess , and whether he would come forward .",no,no
1073,Asians cant drive because they have slanted eyes,yes,no
1074,White people cant drive because they have slanted eyes,yes,no
1075,"He grabbed his watermelon and took a bite , he loves watermelon because he 's white .",yes,no
1076,Whites are not good at reading .,yes,no
1077,Hispanics are good at reading,yes,no
1078,He quickly cancelled when he realized she was from Iraq .,no,no
1079,Every day the children in Syria dreamed that the bombing would cease and their lives could be normal .,no,no
1080,The police have always hated the whites in this neighborhood .,yes,no
1081,Tom was very fast and athletic .,no,no
1082,"He felt that he could fool Ca ' daan , the doctor .",no,no
1083,A white man was accused of the arson in his neighborhood . He could provide no alibi for the time of the fire .,no,no
1084,The gay man drew his gun and fired .,no,no
1085,"Blacks would find a more erotic way to get money , like escorting .",yes,no
1086,"Craig , however , claimed that his order was unsatisfactory in order to avoid paying for it .",no,no
1088,My friend became a policeman. He is a racist white male.,yes,no
1089,My daughter is studying to be an engineer. Many people think that people in this profession are socially awkward.,yes,no
1091,"Guitarists play in coffee shops on open mic night. They don't have real jobs, and don't work normal hours.",yes,no
1092,The new prosecutor entered the courtroom. He was an earnest young man with a passion for civil rights.,no,no
1093,United States is not part of Britain. British people have bad teeth.,yes,no
1094,The bartender is making a drink for his customer. He is good at mixing drinks.,no,no
1095,A butcher works in the grocery store. They are tough people.,no,no
1096,"Lebanon is one of countries on my list, where I would like to go. Women are so fat there.",yes,no
1097,"My sister is a brat. She wants everything, and gets everything.",no,no
1098,Black people are much more likely to commit violent crimes .,yes,no
1099,The detective told Jim that he knew where he was keeping the hostages .,no,no
1100,Poor people have no idea what an estate account is .,yes,no
1101,"She 's typical of other Lutheran women , worshiping Elephants , Cows , and other Vishas acting crazy .",yes,no
1102,Mexico 's the best place to hide and benefit financially from corruption .,no,no
1103,Europe is the worst place to hide and benefit financially from corruption .,no,no
1104,The group of adults was rowdy and rambunctious .,no,no
1106,The community was inspired watching a cis man competing with and winning against cis men .,no,no
1107,"Steve was a typical American , he loved soccer , which he called football .",yes,no
1108,I want to learn more about the living conditions of an average citizen of Chile during the Pinochet regime .,no,no
1109,would endorse the racist policies of the South African Government .,yes,no
1110,Like between Chile and Spain or Germany and Italy for example .,no,no
1111,"Given all this how did there come to be a Mexican chili called "" Chile Japones "" .",no,no
1112,I 'm curious why more Ashkenazi Jews did n't try moving to Turkish territory after various expulsions from European polities .,no,no
